"239","5","u","けらけら笑う","けらけらわらう"
"240","5","k","けりが付く","けりがつく"
"241","1",,"けりを付ける","けりをつける"
"242","5","m","けり込む","けりこむ"
"243","5","s","けり殺す","けりころす"
"244","5","r","けんかを売る","けんかをうる"
"245","5","s","けんつくを食わす","けんつくをくわす"
"246","1",,"けんつくを食わせる","けんつくをくわせる"
"247","5","s","げきを飛ばす","げきをとばす"
"248","5","u","げらげら笑う","げらげらわらう"
"249","5","k","げろげろ吐く","げろげろはく"
"250","5","g","げんを担ぐ","げんをかつぐ"
"251","1",,"こうべを垂れる","こうべをたれる"
"252","5","s","こき下ろす","こきおろす"
"253","5","u","こき使う","こきつかう"
"254","1",,"こころを用いる","こころをもちいる"
"255","1",,"こじつける",
"256","1",,"こじ開ける","こじあける"
"257","1",,"こすり合わせる","こすりあわせる"
"258","5","r","こそげ取る","こそげとる"
"259","5","k","こっくりうなずく",
"260","5","k","こっくりとうなずく",
"261","5","k","こつこつ働く","こつこつはたらく"
"262","1",,"ことができる",
"263","1",,"ことになっている",
"264","1",,"ことばに甘える","ことばにあまえる"
"265","5","s","こねくり回す","こねくりまわす"
"266","5","s","こねくり返す","こねくりかえす"
"267","5","s","こね回す","こねまわす"
"268","1",,"こね上げる","こねあげる"
"269","5","s","こね返す","こねかえす"
"270","5","r","この世を去る","このよをさる"
"271","5","k","こびり付く","こびりつく"
"272","1",,"こぼれ落ちる","こぼれおちる"
"273","1",,"こましゃくれる",
"274","5","s","こます",
"275","1",,"こまちゃくれる",
"276","1",,"こまっしゃくれる",
"277","1",,"こまっちゃくれる",
"278","5","s","こまを回す","こまをまわす"
"279","5","u","こみ合う","こみあう"
"280","1",,"こみ上げる","こみあげる"
"281","5","r","こんがらかる",
"282","5","r","こんがらがる",
"283","5","k","ごたつく",
"284","5","s","ごった返す","ごったがえす"
"285","1",,"ごねる",
"286","5","k","ごろつく",
"287","5","r","ごろりと横になる","ごろりとよこになる"
"288","5","k","ごわつく",
"289","5","u","ご意見を伺う","ごいけんをうかがう"
